"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Dez 09","57,91","55,80","57,91","53,01","32,58K","6,28%"
"Nov 09","54,49","48,96","54,69","48,96","50,53K","11,71%"
"Out 09","48,78","47,80","53,49","47,01","284,20K","1,46%"
"Set 09","48,08","44,79","48,77","43,66","90,52K","8,09%"
"Ago 09","44,48","42,41","45,10","41,20","50,90K","8,43%"
"Jul 09","41,02","35,90","41,02","35,66","4,10K","14,58%"
"Jun 09","35,80","36,00","36,01","34,14","13,40K","0,31%"
"Mai 09","35,69","33,86","35,69","32,50","14,90K","10,50%"
"Abr 09","32,30","24,03","32,30","24,03","30,80K","34,42%"
"Mar 09","24,03","23,49","24,08","22,34","1,00K","2,30%"
"Fev 09","23,49","24,76","25,12","23,49","3,80K","-0,47%"
"Jan 09","23,60","25,22","25,22","23,60","0,30K","-3,79%"
